text,created_at,event
@user2813: Breaking: Tesla releases iPhone 15 today ???,2024-01-01T14:45:43.908877,event_3
Review: Google's Pixel 8 is worth the hype #technology43,2024-01-01T15:11:18.309187,event_43
New legislation on education proposed by DeSantis,2024-01-01T15:17:31.805406,event_33
Stay safe Turkey! tornado approaching lowkey,2024-01-01T15:19:11.516022,event_12
POTUS addresses nation on immigration - what do you think? #politics1,2024-01-01T15:30:59.525308,event_1
@user2524: The new PS5 from NVIDIA is incredible 🔥,2024-01-01T15:41:28.727065,event_11
Amazon stock surges after Xbox announcement,2024-01-01T15:47:00.060086,event_11
@user1429: OMG Bad Bunny just posted about taxes! #entertainment34,2024-01-01T15:49:37.962717,event_34
@user6750: Trump tweets about infrastructure policy changes,2024-01-01T16:13:37.455503,event_33
@user6168: Just got my new Xbox from Netflix! Amazing! #technology43,2024-01-01T16:14:00.266004,event_43
Can't believe what happened with foreign policy!,2024-01-01T16:31:03.850149,event_23
@user2801: Netflix stock surges after PS5 announcement #technology3,2024-01-01T17:16:58.297977,event_3
@user8953: OMG Beyoncé just posted about taxes! fr fr #entertainment34,2024-01-01T17:34:30.588370,event_34
@user6109: idk Breaking: Tesla releases iPhone 15 today,2024-01-01T17:45:02.463846,event_35
@user9649: 🔥 Stay safe Italy! earthquake approaching #disaster28,2024-01-01T17:56:51.337901,event_28
@user2884: SpaceX announces new iPhone 15 - game changer!,2024-01-01T18:10:36.038481,event_35
Trump tweets about education policy changes,2024-01-01T18:25:59.827484,event_25
Harris's stance on economy sparks debate #politics25,2024-01-01T18:39:25.597230,event_25
@user5648: Breaking: NVIDIA releases Vision Pro today,2024-01-01T18:48:48.572365,event_19
@user6671: DeSantis tweets about infrastructure policy changes #politics1,2024-01-01T18:51:28.858769,event_1
@user7657: Can't stop listening to Beyoncé's new song #entertainment2,2024-01-01T19:29:15.416050,event_2
istg Major announcement from Biden regarding economy #politics1,2024-01-01T19:37:42.225161,event_1
McConnell speaks about infrastructure at today's conference,2024-01-01T19:46:54.659562,event_33
Tech news: Netflix launches Pixel 8 globally,2024-01-01T19:59:49.776907,event_11
@user6502: Pelosi's stance on foreign policy sparks debate #politics25,2024-01-01T20:01:21.296075,event_25
Breaking: Apple releases iPhone 15 today #technology43,2024-01-01T20:03:46.189964,event_43
Review: NVIDIA's PS5 is worth the hype #technology11,2024-01-01T20:25:12.043325,event_11
OMG Timothée Chalamet just posted about taxes!,2024-01-01T20:29:54.124999,event_18
Just got my new Model Y from Apple! Amazing! #technology35,2024-01-01T20:33:00.113946,event_35
@user9994: New legislation on climate change proposed by Harris #politics9,2024-01-01T20:52:35.248661,event_9
Pelosi's stance on healthcare sparks debate,2024-01-01T20:54:44.575459,event_1
@user8309: SpaceX CEO reveals plans for Quest 3 #technology11,2024-01-01T21:02:40.364123,event_11
This infrastructure story is breaking the internet,2024-01-01T21:29:57.997349,event_7
WHO updates guidelines on obesity,2024-01-01T22:27:24.465236,event_45
CEO of Netflix steps down - what's next? #business38,2024-01-01T22:42:38.882873,event_38
😱 Newsom's stance on foreign policy sparks debate,2024-01-01T22:55:04.404085,event_33
Breaking: NVIDIA releases PS5 today,2024-01-01T22:57:57.787856,event_43
@user4436: CEO of Meta steps down - what's next? #business38,2024-01-01T23:23:08.909817,event_38
Trending: #Trending goes viral on social media,2024-01-01T23:24:39.514278,event_7
@user882: 🎉 OpenAI announces new Vision Pro - game changer!,2024-01-01T23:27:11.899361,event_43
The new PS5 from OpenAI is incredible 🔥 #technology27,2024-01-01T23:37:56.457310,event_27
@user1998: CEO of OpenAI steps down - what's next?,2024-01-02T00:07:05.711705,event_38
fyi Tech news: OpenAI launches Quest 3 globally #technology43,2024-01-02T00:11:47.187593,event_43
@user4312: yolo NVIDIA stock surges after iPhone 15 announcement #technology11,2024-01-02T00:13:58.577235,event_11
@user4831: Top Gun breaks box office records this weekend #entertainment2,2024-01-02T00:32:09.465572,event_2
Trump speaks about healthcare at today's conference #politics9,2024-01-02T00:44:06.862095,event_9
@user7493: Google stock surges after GPT-5 announcement #technology19,2024-01-02T00:45:28.887575,event_19
Breaking: OpenAI and Activision merger approved,2024-01-02T00:51:45.133987,event_38
@user398: OMG Timothée Chalamet just posted about economy! fyi,2024-01-02T00:52:47.585509,event_42
Breaking: Mahomes scores winning goal for Warriors btw #sports0,2024-01-02T01:03:05.573452,event_0
New legislation on infrastructure proposed by Biden #politics25,2024-01-02T01:04:26.237425,event_25
Top Gun breaks box office records this weekend ??? #entertainment18,2024-01-02T01:06:10.166025,event_18
POTUS addresses nation on foreign policy - what do you think? #politics9,2024-01-02T01:08:47.763559,event_9
@user6203: fyi Amazon CEO reveals plans for iPhone 15,2024-01-02T01:12:48.960035,event_3
@user1672: Breaking news: wildfire strikes California,2024-01-02T01:21:10.423228,event_12
Health advisory: obesity awareness week ...,2024-01-02T01:36:28.433333,event_45
Breaking: SpaceX releases iPhone 15 today #technology11,2024-01-02T01:38:54.658060,event_11
@user5018: Press conference: McConnell discusses climate change,2024-01-02T01:38:55.563205,event_25
@user6850: New album by Beyoncé is fire! 🔥 #rock,2024-01-02T01:48:00.996956,event_34
@user472: Stay safe Texas! flood approaching #disaster12,2024-01-02T01:58:28.588852,event_12
The infrastructure situation is getting crazy fr fr,2024-01-02T01:58:30.727927,event_47
@user2127: Everyone's talking about infrastructure today! yolo #social47,2024-01-02T02:10:06.152847,event_47
goat SpaceX stock surges after Pixel 8 announcement,2024-01-02T02:12:14.460545,event_11
Newsom speaks about education at today's conference #politics25,2024-01-02T02:19:54.941860,event_25
Tech news: Apple launches GPT-5 globally,2024-01-02T02:23:07.102327,event_11
lol The new Model Y from Apple is incredible #technology11,2024-01-02T02:29:14.575772,event_11
@user5573: New legislation on economy proposed by Sanders no cap #politics1,2024-01-02T02:42:26.555265,event_1
rn Biden speaks about foreign policy at today's conference,2024-01-02T02:43:42.772830,event_33
POTUS addresses nation on taxes - what do you think? lowkey,2024-01-02T02:52:50.288780,event_25
@user3557: POTUS addresses nation on foreign policy - what do you think?,2024-01-02T03:12:59.095312,event_1
Tech news: Amazon launches GPT-5 globally,2024-01-02T03:16:17.598770,event_11
The new Vision Pro from Microsoft is incredible,2024-01-02T03:17:12.252912,event_43
@user4244: istg Obama's stance on foreign policy sparks debate,2024-01-02T03:17:45.718372,event_9
@user758: This economy story is breaking the internet #social7,2024-01-02T03:29:59.077673,event_7
@user1945: Lakers defeats Rockets 105-98 in thrilling tennis game,2024-01-02T03:30:31.703475,event_24
Warriors defeats Celtics 28-24 in thrilling tennis game #sports48,2024-01-02T03:45:21.931730,event_48
@user8601: AOC speaks about infrastructure at today's conference,2024-01-02T03:48:58.378716,event_9
🙏 Best performance by The Weeknd at Met Gala!,2024-01-02T03:49:57.430705,event_34
NVIDIA stock surges after Xbox announcement #technology35,2024-01-02T04:04:00.773292,event_35
Press conference: DeSantis discusses healthcare imo #politics9,2024-01-02T04:09:44.290410,event_9
@user8776: idk Tom Holland wins award at Met Gala! So deserved! #entertainment34,2024-01-02T04:11:40.336880,event_34
Rescue teams deployed to Turkey after wildfire,2024-01-02T04:23:42.647856,event_12
??? DeSantis's stance on taxes sparks debate #politics33,2024-01-02T04:34:34.924403,event_33
POTUS addresses nation on foreign policy - what do you think?,2024-01-02T04:38:51.189972,event_33
Just got my new GPT-5 from Google! Amazing!,2024-01-02T04:49:24.450418,event_27
@user4733: Tom Holland announces new project at Super Bowl bussin #entertainment2,2024-01-02T04:54:24.005674,event_2
Can't believe what happened with healthcare! #social39,2024-01-02T04:58:26.297688,event_39
@user3268: Meta announces new PS5 - game changer! #technology11,2024-01-02T05:03:13.253131,event_11
The taxes situation is getting crazy goat,2024-01-02T05:09:29.629644,event_7
@user4112: New legislation on taxes proposed by Trump #politics1,2024-01-02T05:11:41.593331,event_1
Market update: Meta leads healthcare gains #business30,2024-01-02T05:25:33.548063,event_30
@user2344: Oppenheimer breaks box office records this weekend #entertainment34,2024-01-02T05:30:29.030878,event_34
Breaking: Pelosi announces new policy on foreign policy #politics1,2024-01-02T05:32:08.299838,event_1
@user1686: Harris tweets about immigration policy changes #politics25,2024-01-02T05:50:41.050953,event_25
Breaking: Obama announces new policy on taxes goat,2024-01-02T06:00:07.576631,event_9
@user4201: AOC speaks about immigration at today's conference,2024-01-02T06:02:49.379351,event_33
@user2836: Can't believe what happened with climate change!,2024-01-02T06:12:59.844415,event_7
@user6847: Just saw Dune - absolutely amazing! Must watch!,2024-01-02T06:15:53.896464,event_34
Breaking: Mbappé scores winning goal for Warriors #sports16,2024-01-02T06:34:39.679390,event_16
@user7511: New treatment for cancer shows promise,2024-01-02T06:44:53.240449,event_45
@user2919: bussin Prayers for California after devastating tsunami,2024-01-02T06:48:05.562197,event_4
@user1103: icymi Update: tsunami in California causes major damage,2024-01-02T06:53:39.587781,event_12
icymi SpaceX stock surges after Model Y announcement,2024-01-02T06:58:07.498491,event_3
New treatment for mental health shows promise #health45,2024-01-02T07:02:24.236017,event_45
Tech news: Apple launches Model Y globally,2024-01-02T07:11:33.556927,event_43
@user2618: Tech news: Google launches Pixel 8 globally #technology11,2024-01-02T07:18:32.305603,event_11
Press conference: Pelosi discusses healthcare lowkey,2024-01-02T07:22:52.462490,event_33
Market update: NVIDIA leads energy gains,2024-01-02T07:26:10.318886,event_38
@user3608: 🎉 Update: flood in Hawaii causes major damage,2024-01-02T07:29:16.714254,event_28
@user8872: Just saw Top Gun - absolutely amazing! Must watch! #entertainment26,2024-01-02T07:47:43.085391,event_26
@user981: Obama speaks about economy at today's conference #politics9,2024-01-02T07:48:34.200191,event_9
Dua Lipa wins award at Super Bowl! So deserved!,2024-01-02T07:59:33.910053,event_2
@user2171: Just got my new Model Y from Apple! Amazing! #technology43,2024-01-02T08:00:07.919331,event_43
no cap OpenAI announces new Pixel 8 - game changer! #technology43,2024-01-02T08:05:51.071224,event_43
@user8136: AOC's stance on healthcare sparks debate,2024-01-02T08:07:48.986547,event_33
Update: storm in Florida causes major damage #disaster12,2024-01-02T08:24:32.691227,event_12
highkey Prayers for Italy after devastating flood #disaster12,2024-01-02T08:28:28.547252,event_12
Timothée Chalamet announces new project at Grammy Awards lol,2024-01-02T08:30:22.549793,event_34
@user1709: fr fr Google announces new Quest 3 - game changer! #technology43,2024-01-02T08:51:36.079654,event_43
Apple CEO reveals plans for iPhone 15 #technology43,2024-01-02T08:54:19.573261,event_43
@user1493: Breaking: OpenAI releases GPT-5 today,2024-01-02T08:55:37.493070,event_35
@user2979: Major announcement from Obama regarding foreign policy lowkey,2024-01-02T08:57:31.428855,event_33
@user7221: Taylor Swift announces new project at Coachella #entertainment2,2024-01-02T09:01:11.642837,event_2
@user5694: Trending: #Update goes viral on social media yolo,2024-01-02T09:02:14.022440,event_7
The new Model Y from OpenAI is incredible #technology43,2024-01-02T09:12:35.241160,event_43
@user902: Major announcement from McConnell regarding immigration #politics33,2024-01-02T09:18:50.555703,event_33
Amazing performance by KD in today's tennis match #sports0,2024-01-02T09:21:19.019925,event_0
Best performance by Taylor Swift at Super Bowl! 🤯 #entertainment2,2024-01-02T09:50:40.590930,event_2
@user2105: imo New legislation on healthcare proposed by Biden,2024-01-02T10:01:21.719618,event_33
Can't believe Barcelona won! What a game! #NFL,2024-01-02T10:11:23.473989,event_0
The education situation is getting crazy,2024-01-02T10:12:32.101072,event_7
@user3175: Review: NVIDIA's Vision Pro is worth the hype,2024-01-02T10:36:13.783675,event_27
smh Bad Bunny wins award at Golden Globes! So deserved!,2024-01-02T10:46:59.000446,event_34
@user4076: Major announcement from Newsom regarding education,2024-01-02T10:52:05.718342,event_33
@user7668: Major announcement from AOC regarding taxes 🔥,2024-01-02T11:11:01.147301,event_9
Spider-Man breaks box office records this weekend #entertainment34,2024-01-02T11:14:52.105311,event_34
@user9004: New legislation on climate change proposed by McConnell tl;dr,2024-01-02T11:16:09.317655,event_9
The new iPhone 15 from Amazon is incredible #technology11,2024-01-02T11:17:11.987772,event_11
Tom Holland announces new project at Grammy Awards #entertainment34,2024-01-02T11:27:36.988647,event_34
@user1108: Major announcement from McConnell regarding infrastructure,2024-01-02T11:33:22.519274,event_33
@user4873: New legislation on education proposed by Biden #politics41,2024-01-02T11:40:00.877155,event_41
POTUS addresses nation on immigration - what do you think? #politics33,2024-01-02T11:51:18.248619,event_33
@user3735: Relief efforts underway in Italy after wildfire,2024-01-02T11:55:39.857735,event_28
Beyoncé wins award at Oscars! So deserved! #entertainment2,2024-01-02T12:01:48.517881,event_2
@user9820: Emergency alert: earthquake warning for Alaska #disaster12,2024-01-02T12:09:53.275142,event_12
@user6762: NVIDIA stock surges after Vision Pro announcement 💯,2024-01-02T12:15:01.098841,event_11
@user6478: Breaking: Google releases Xbox today #technology11,2024-01-02T12:16:54.403361,event_11
@user581: idk My thoughts on climate change - thread 🧵,2024-01-02T12:17:35.577794,event_47
New legislation on economy proposed by Sanders,2024-01-02T12:18:47.733511,event_17
Amazon announces new PS5 - game changer! #technology43,2024-01-02T12:23:25.964531,event_43
Obama's stance on economy sparks debate,2024-01-02T12:27:19.284913,event_33
@user1049: Update: wildfire in Mexico causes major damage #disaster36,2024-01-02T13:11:22.488850,event_36
@user7920: goated Trump speaks about education at today's conference #politics25,2024-01-02T13:15:10.871776,event_25
SpaceX reports record revenue this quarter #business30,2024-01-02T13:23:41.796263,event_30
@user1357: 🎉 Major announcement from Pelosi regarding healthcare #politics25,2024-01-02T13:23:50.724754,event_25
Yankees wins the championship game against Raiders!,2024-01-02T13:25:44.235351,event_8
😭 OMG Timothée Chalamet just posted about climate change!,2024-01-02T13:27:16.957830,event_34
Breaking: Google releases Model Y today,2024-01-02T13:43:57.278063,event_11
@user6499: POTUS addresses nation on climate change - what do you think? #politics1,2024-01-02T13:48:27.235953,event_1
!!! Biden speaks about taxes at today's conference #politics33,2024-01-02T13:49:07.409866,event_33
😱 This immigration story is breaking the internet,2024-01-02T13:54:59.029949,event_7
Breaking: heart disease research breakthrough announced,2024-01-02T14:15:21.603537,event_45
@user760: OpenAI announces 10000 new jobs in Florida lowkey #business46,2024-01-02T14:16:26.866610,event_46
The new iPhone 15 from OpenAI is incredible,2024-01-02T14:19:16.103165,event_43
Important: diabetes symptoms to watch for no cap #health13,2024-01-02T14:47:06.595280,event_13
POTUS addresses nation on immigration - what do you think? #politics1,2024-01-02T14:48:21.069120,event_1
Health advisory: cancer awareness week #health45,2024-01-02T14:58:08.094699,event_45
OpenAI announces new Quest 3 - game changer! #technology19,2024-01-02T15:01:04.845205,event_19
The education situation is getting crazy,2024-01-02T15:27:55.433318,event_47
@user9895: Hot take: education is overrated/underrated,2024-01-02T15:32:17.269053,event_47
Press conference: Obama discusses taxes,2024-01-02T15:33:48.589423,event_41
Review: Google's GPT-5 is worth the hype ❤️,2024-01-02T15:34:16.009711,event_11
Amazing performance by Messi in today's NFL match bruh,2024-01-02T15:49:09.117865,event_16
@user3754: POTUS addresses nation on healthcare - what do you think? #politics41,2024-01-02T16:08:10.268816,event_41
Just got my new PS5 from Netflix! Amazing! #technology11,2024-01-02T16:22:26.740231,event_11
@user2028: Trending: #Update goes viral on social media,2024-01-02T16:38:03.010673,event_7
Breaking news: tsunami strikes California #disaster28,2024-01-02T16:38:44.166704,event_28
Doctors recommend stress management for obesity ❤️,2024-01-02T16:46:03.855084,event_45
Just saw Spider-Man - absolutely amazing! Must watch!,2024-01-02T16:52:21.216119,event_34
Emergency alert: tsunami warning for Florida #disaster28,2024-01-02T16:55:25.645848,event_28
New album by SZA is fire! 🔥 #latin,2024-01-02T17:05:26.721708,event_2
@user1292: Trump's stance on taxes sparks debate,2024-01-02T17:13:59.403194,event_33
Lakers defeats PSG 2-1 in thrilling golf game asap #sports48,2024-01-02T17:15:12.767259,event_48
@user2540: Important: flu symptoms to watch for fyi #health5,2024-01-02T17:15:34.570865,event_5
@user582: Newsom's stance on education sparks debate,2024-01-02T17:15:54.563226,event_25
@user6478: bruh Just got my new Vision Pro from NVIDIA! Amazing! #technology43,2024-01-02T17:22:27.447946,event_43
Just saw Barbie - absolutely amazing! Must watch!,2024-01-02T17:40:14.218886,event_34
@user517: Beyoncé wins award at VMAs! So deserved! #entertainment34,2024-01-02T17:43:42.317332,event_34
@user4901: Bad Bunny wins award at Grammy Awards! So deserved!,2024-01-02T18:10:05.705151,event_34
Emergency alert: earthquake warning for Turkey,2024-01-02T18:10:09.090759,event_12
SpaceX stock surges after Xbox announcement #technology11,2024-01-02T18:10:33.334075,event_11
... Market update: Amazon leads finance gains #business38,2024-01-02T18:10:55.628608,event_38
NVIDIA reports record revenue this quarter #business38,2024-01-02T18:15:54.685674,event_38
Just got my new Model Y from SpaceX! Amazing! #technology43,2024-01-02T18:17:51.087740,event_43
Review: NVIDIA's PS5 is worth the hype,2024-01-02T18:38:30.590503,event_43
McConnell speaks about climate change at today's conference,2024-01-02T18:41:24.180601,event_25
@user5247: tl;dr Pelosi speaks about immigration at today's conference #politics25,2024-01-02T18:50:43.226165,event_25
Breaking: mental health research breakthrough announced #health37,2024-01-02T19:00:33.245437,event_37
@user2776: DeSantis speaks about climate change at today's conference btw #politics33,2024-01-02T19:06:22.971180,event_33
@user7763: Zendaya wins award at Super Bowl! So deserved! bruh #entertainment34,2024-01-02T19:13:52.400073,event_34
🎉 Stay safe Mexico! earthquake approaching #disaster36,2024-01-02T19:46:36.559549,event_36
@user9583: The new iPhone 15 from SpaceX is incredible #technology43,2024-01-02T19:46:51.182233,event_43
Prayers for Mexico after devastating wildfire #disaster12,2024-01-02T19:47:50.461523,event_12
Microsoft expands operations to California icymi #business14,2024-01-02T19:48:18.688533,event_14
Drake wins award at World Cup! So deserved!,2024-01-02T20:00:12.741220,event_2
Google stock surges after earnings report,2024-01-02T20:06:23.588769,event_30
🤯 Major announcement from Trump regarding immigration,2024-01-02T20:22:51.596029,event_1
@user8936: Hot take: foreign policy is overrated/underrated 💪 #social23,2024-01-02T20:24:24.772969,event_23
Breaking: OpenAI releases Model Y today #technology27,2024-01-02T20:29:13.541187,event_27
@user9743: Amazon CEO reveals plans for Xbox,2024-01-02T20:48:50.970502,event_11
@user8234: Netflix announces 5000 new jobs in Texas #business30,2024-01-02T21:03:09.317101,event_30
@user136: Press conference: Newsom discusses healthcare #politics1,2024-01-02T21:03:48.779490,event_1
@user6544: 🙏 Major announcement from Trump regarding healthcare,2024-01-02T21:05:58.552031,event_1
Market update: Apple leads finance gains #business38,2024-01-02T21:09:53.811837,event_38
Relief efforts underway in Mexico after tornado smh #disaster12,2024-01-02T21:16:37.104434,event_12
Just got my new PS5 from Meta! Amazing!,2024-01-02T21:41:27.069958,event_3
Pelosi's stance on taxes sparks debate,2024-01-02T21:42:49.669296,event_25
@user5521: Tesla announces new Model Y - game changer!,2024-01-02T21:48:04.942534,event_35
POTUS addresses nation on taxes - what do you think?,2024-01-02T21:54:29.227554,event_9
@user8491: Harris's stance on education sparks debate,2024-01-02T22:01:03.128007,event_33
Beyoncé wins award at Golden Globes! So deserved!,2024-01-02T22:14:46.503462,event_2
@user9012: Breaking: DeSantis announces new policy on economy #politics1,2024-01-02T22:18:23.695527,event_1
idk Dune breaks box office records this weekend #entertainment26,2024-01-02T22:51:08.269976,event_26
Breaking: SpaceX releases Pixel 8 today #technology27,2024-01-02T23:00:13.163428,event_27
Sanders tweets about healthcare policy changes #politics33,2024-01-02T23:02:29.189454,event_33
Best performance by Bad Bunny at Met Gala! #entertainment34,2024-01-02T23:14:22.231933,event_34
Trending: #Alert goes viral on social media,2024-01-02T23:20:32.154987,event_47
Major announcement from Pelosi regarding infrastructure goat,2024-01-02T23:29:31.215016,event_25
Tech news: Netflix launches Quest 3 globally #technology11,2024-01-03T00:07:11.234501,event_11
@user5713: Emergency alert: wildfire warning for Florida,2024-01-03T00:53:18.848899,event_36
@user9825: The new Model Y from Microsoft is incredible #technology11,2024-01-03T01:06:51.926277,event_11
@user4140: Prayers for Turkey after devastating storm,2024-01-03T01:30:58.720074,event_20
Major announcement from Newsom regarding education #politics1,2024-01-03T01:40:10.769804,event_1
@user1404: POTUS addresses nation on economy - what do you think?,2024-01-03T01:43:54.939897,event_1
@user8018: Update on healthcare: here's what we know #social47,2024-01-03T01:46:12.939527,event_47
bussin Update on taxes: here's what we know #social39,2024-01-03T02:16:27.269578,event_39
Can't stop listening to Kendrick's new song #entertainment34,2024-01-03T02:25:41.955879,event_34
@user6093: POTUS addresses nation on economy - what do you think? #politics17,2024-01-03T02:26:48.440049,event_17
Hot take: education is overrated/underrated,2024-01-03T02:30:26.790179,event_7
Trending: #Update goes viral on social media,2024-01-03T02:36:37.858631,event_7
The new iPhone 15 from Amazon is incredible istg,2024-01-03T02:49:15.328299,event_11
@user3362: Emergency alert: flood warning for Texas,2024-01-03T02:51:55.033006,event_28
@user6067: OMG Tom Holland just posted about immigration! #entertainment34,2024-01-03T03:00:51.556916,event_34
@user1856: ngl Trump's stance on infrastructure sparks debate #politics33,2024-01-03T03:19:05.486890,event_33
Just got my new Vision Pro from Meta! Amazing!,2024-01-03T03:26:03.621625,event_11
@user4454: Breaking: Amazon to acquire TikTok for $20B,2024-01-03T03:34:14.600788,event_46
New album by Drake is fire! 🔥 #country,2024-01-03T03:47:23.761661,event_34
Stay safe Florida! flood approaching,2024-01-03T03:57:11.063799,event_28
Newsom tweets about climate change policy changes,2024-01-03T03:58:50.124601,event_33
@user8525: Just saw Spider-Man - absolutely amazing! Must watch!,2024-01-03T04:12:03.366210,event_18
Netflix CEO reveals plans for Model Y,2024-01-03T04:17:14.549456,event_11
Breaking news: earthquake strikes Mexico,2024-01-03T04:20:59.587061,event_12
btw Tech news: NVIDIA launches Xbox globally,2024-01-03T04:25:49.218388,event_35
Newsom's stance on infrastructure sparks debate #politics1,2024-01-03T04:42:23.318352,event_1
rn SpaceX CEO reveals plans for GPT-5 #technology3,2024-01-03T04:43:55.052963,event_3
@user5127: Sanders speaks about infrastructure at today's conference lol #politics1,2024-01-03T04:44:34.183083,event_1
fomo POTUS addresses nation on immigration - what do you think?,2024-01-03T04:45:43.856990,event_1
lol AOC speaks about infrastructure at today's conference,2024-01-03T04:55:59.411561,event_41
@user4759: Avatar 2 breaks box office records this weekend,2024-01-03T05:16:19.472634,event_34
My thoughts on taxes - thread 🧵 #social23,2024-01-03T05:17:49.593925,event_23
Best performance by The Weeknd at Super Bowl! #entertainment2,2024-01-03T05:18:42.320552,event_2
@user8542: Sanders's stance on healthcare sparks debate,2024-01-03T05:22:05.782307,event_25
This infrastructure story is breaking the internet smh #social23,2024-01-03T05:22:20.837987,event_23
smh Everyone's talking about healthcare today!,2024-01-03T05:46:25.705615,event_7
Breaking: Earthquake hits Japan - magnitude 5.9 👀,2024-01-03T05:49:33.677322,event_20
@user2804: no cap Press conference: McConnell discusses foreign policy,2024-01-03T06:19:58.786206,event_17
@user3060: Press conference: Newsom discusses economy,2024-01-03T06:23:32.111928,event_33
@user2322: DeSantis tweets about infrastructure policy changes ❤️ #politics33,2024-01-03T06:26:43.132595,event_33
Breaking: AOC announces new policy on healthcare,2024-01-03T06:36:40.734546,event_1
@user9100: Breaking: Netflix and WhatsApp merger approved,2024-01-03T06:54:40.100851,event_14
@user3659: Trump tweets about foreign policy policy changes !!!,2024-01-03T07:23:31.298757,event_33
Major announcement from Biden regarding infrastructure asap,2024-01-03T07:24:06.771941,event_25
Press conference: Harris discusses economy,2024-01-03T07:25:41.296950,event_41
@user2828: McConnell speaks about immigration at today's conference #politics33,2024-01-03T07:38:07.327901,event_33
Update on immigration: here's what we know,2024-01-03T07:39:54.505002,event_7
istg New legislation on education proposed by Newsom,2024-01-03T07:48:21.889950,event_1
@user420: Pelosi tweets about healthcare policy changes,2024-01-03T07:50:01.558297,event_33
McConnell's stance on foreign policy sparks debate #politics1,2024-01-03T07:54:38.786246,event_1
@user1008: bussin Breaking: SpaceX and Snapchat merger approved #business30,2024-01-03T07:54:58.189933,event_30
Health experts discuss flu prevention #health45,2024-01-03T08:07:49.243822,event_45
Breaking: Meta and LinkedIn merger approved,2024-01-03T08:13:24.229426,event_30
❤️ Chiefs defeats Raiders 28-24 in thrilling NBA game,2024-01-03T08:24:04.777903,event_16
tbh POTUS addresses nation on healthcare - what do you think?,2024-01-03T08:26:30.819188,event_33
@user6198: Breaking: OpenAI and Snapchat merger approved,2024-01-03T08:31:16.435647,event_22
@user1097: Tesla CEO reveals plans for Vision Pro,2024-01-03T08:32:02.577781,event_27
@user1443: 🔥 New study shows breakthrough about mental health,2024-01-03T08:40:59.841145,event_45
OMG Haaland just broke the record! #Warriors btw,2024-01-03T08:53:45.755702,event_16
Everyone's talking about climate change today! #social47,2024-01-03T09:22:25.534382,event_47
Apple CEO reveals plans for Pixel 8,2024-01-03T09:30:37.119170,event_43
Lakers defeats Chelsea 3-2 in thrilling soccer game #sports8,2024-01-03T09:32:02.605886,event_8
Trump tweets about economy policy changes imo #politics1,2024-01-03T09:36:06.775428,event_1
New album by Drake is fire! 🔥 #rnb,2024-01-03T09:36:29.749084,event_2
Major announcement from Biden regarding economy #politics1,2024-01-03T09:39:16.345959,event_1
idk Bad Bunny wins award at Super Bowl! So deserved! #entertainment2,2024-01-03T09:59:14.431160,event_2
